[Choosing CUDA device...]
NVIDIA A40
[Creating frb kernel...]
[Done creating frb kernel]
CHORD FRB beamformer
Compiling kernel...
Allocating input data...
Setting up input data...
dish = 249
freq = 137
polr = 0
time = 1068
Wvalue = 0.36607796f0 - 0.7806393f0im
Evalue = 2 + 7im
dstime = 26
Copying data from CPU to GPU...
Running kernel...
Copying data back from GPU to CPU...
Checking results...
    I:
        beamp=12 beamq=2 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=13 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=14 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=15 beamq=2 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=16 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=17 beamq=2 freq=137 dstime=26 I=0.123535156 I₀=39.40625
        beamp=18 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=19 beamq=2 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=20 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=21 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=22 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=23 beamq=2 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=24 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=25 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=26 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=27 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=28 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=29 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=30 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=31 beamq=2 freq=137 dstime=26 I=0.12310791 I₀=39.40625
